listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
18381668,basic,625000,for_sale,410,1900,799,3/4/22,2022
18377318,basic,625000,for_sale,400,1890,449,3/4/22,2022
18373975,plus,625000,for_sale,350,1840,224.5,3/3/22,2022
18380795,basic,625000,for_sale,330,1820,449,3/4/22,2022
18372955,plus,625000,for_sale,330,1820,224.5,3/3/22,2022
18372935,plus,625000,for_sale,330,1820,224.5,3/3/22,2022
18381403,basic,635000,for_sale,330,1820,449,3/4/22,2022
18333280,plus,635000,for_sale,310,1800,224.5,3/3/22,2022
19438655,basic,645000,for_sale,700,2000,1119,1/6/23,2023
19483998,basic,645000,for_sale,600,1800,609,1/5/23,2023
18188195,basic,645000,for_sale,460,2650,799,3/4/22,2022
19033836,plus,650000,for_sale,700,2200,559.5,1/5/23,2023
19354637,plus,650000,for_sale,700,1800,414.5,1/9/23,2023
19444175,plus,650000,for_sale,700,2200,414.5,1/7/23,2023
19489775,basic,650000,for_sale,600,1900,609,1/9/23,2023
19490495,basic,650000,for_sale,600,1600,609,1/9/23,2023
19487301,basic,650000,for_sale,500,1700,829,1/6/23,2023
18110186,basic,650000,for_sale,460,1950,799,3/5/22,2022
18378576,basic,650000,for_sale,450,1940,799,3/4/22,2022
18380769,basic,650000,for_sale,430,2620,799,3/4/22,2022
18380559,basic,650000,for_sale,350,1840,449,3/4/22,2022
18379218,plus,650000,for_sale,350,1840,224.5,3/4/22,2022
18377057,basic,650000,for_sale,350,1840,449,3/4/22,2022
18381228,basic,650000,for_sale,330,1820,449,3/4/22,2022
18380718,basic,650000,for_sale,330,1820,449,3/4/22,2022
18361357,plus,665000,for_sale,450,1940,399.5,3/3/22,2022
19487715,basic,675000,for_sale,600,2000,609,1/6/23,2023
19461595,basic,675000,for_sale,500,1600,829,1/9/23,2023
19489115,basic,675000,for_sale,500,1800,829,1/9/23,2023
18378895,basic,675000,for_sale,350,1840,449,3/4/22,2022
18381259,basic,675000,for_sale,330,1820,449,3/4/22,2022
18381018,plus,675000,for_sale,330,1820,224.5,3/4/22,2022
19491495,basic,685000,for_sale,600,2000,609,1/9/23,2023
18380514,basic,690000,for_sale,350,1840,449,3/4/22,2022
18372256,basic,690000,for_sale,350,1840,449,3/4/22,2022
19487904,plus,695000,for_sale,800,2200,559.5,1/6/23,2023
19383998,plus,695000,for_sale,700,2100,414.5,1/9/23,2023
19462177,basic,695000,for_sale,700,2200,829,1/6/23,2023
19487042,basic,695000,for_sale,700,1900,829,1/6/23,2023
19487106,basic,695000,for_sale,700,2200,1119,1/6/23,2023
19313496,plus,695000,for_sale,600,2000,414.5,1/9/23,2023
18382602,plus,695000,for_sale,460,1950,399.5,3/5/22,2022
18379619,basic,695000,for_sale,450,1940,799,3/4/22,2022
18380812,basic,695000,for_sale,410,1900,799,3/4/22,2022
18379557,basic,695000,for_sale,330,1820,449,3/4/22,2022
18378915,basic,695000,for_sale,330,1820,449,3/4/22,2022
18336975,plus,695000,for_sale,330,1820,224.5,3/3/22,2022
18380532,plus,695000,for_sale,310,1800,224.5,3/4/22,2022
19489195,basic,700000,for_sale,700,2000,609,1/9/23,2023
19487511,basic,700000,for_sale,600,1900,609,1/8/23,2023
19489235,basic,700000,for_sale,600,2000,829,1/9/23,2023
18381188,basic,725000,for_sale,450,1940,799,3/4/22,2022
